Driver,TotalPoints,TotalWins,TotalPodiums,Races,AvgLapSpeed
Alexander Albon,146.0,0,2,84,211.47
Antonio Giovinazzi,7.0,0,0,39,210.23947368421054
Carlos Sainz,936.5,4,26,106,211.71681443298968
Charles Leclerc,1060.0,6,33,107,213.10840404040405
Daniel Ricciardo,280.0,1,3,86,211.57884146341465
Daniil Kvyat,32.0,0,0,17,216.86217647058825
Esteban Ocon,304.0,1,4,106,209.83653465346535
Fernando Alonso,430.0,0,9,90,210.99079545454543
Franco Colapinto,5.0,0,0,9,207.159125
George Russell,664.0,3,15,107,212.0565
Guanyu Zhou,16.0,0,0,68,209.0199393939394
Jack Aitken,0.0,0,0,1,222.24
Jack Doohan,0.0,0,0,1,213.323
Kevin Magnussen,39.0,0,0,83,209.81250632911392
Kimi Räikkönen,14.0,0,0,37,213.68442857142858
Lance Stroll,219.0,0,2,106,212.02682828282826
Lando Norris,901.0,4,26,107,213.23822115384615
Lewis Hamilton,1389.5,21,51,106,214.4682178217822
Liam Lawson,6.0,0,0,11,211.0261818181818
Logan Sargeant,1.0,0,0,36,210.5982
Max Verstappen,1964.5,55,81,107,214.6391862745098
Mick Schumacher,12.0,0,0,44,206.79890243902437
Nicholas Latifi,9.0,0,0,61,207.23886440677967
Nico Hülkenberg,52.0,0,0,51,212.42628571428568
Nikita Mazepin,0.0,0,0,22,208.28833333333333
Nyck de Vries,2.0,0,0,11,213.47872727272727
Oliver Bearman,7.0,0,0,3,210.34133333333332
Oscar Piastri,347.0,2,10,46,213.35606818181816
Pierre Gasly,302.0,1,4,107,211.09154999999998
Pietro Fittipaldi,0.0,0,0,2,208.74
Robert Kubica,0.0,0,0,2,223.079
Romain Grosjean,2.0,0,0,15,218.45642857142857
Sebastian Vettel,113.0,0,2,59,210.084
Sergio Pérez,1004.0,6,31,105,213.71794999999997
Valtteri Bottas,499.0,3,22,107,211.6573495145631
Yuki Tsunoda,87.0,0,0,90,209.39921951219515
