Season,Constructor,Wins
2020,Alfa Romeo,0
2020,AlphaTauri,1
2020,Ferrari,0
2020,Haas F1 Team,0
2020,McLaren,0
2020,Mercedes,13
2020,Racing Point,1
2020,Red Bull,2
2020,Renault,0
2020,Williams,0
2021,Alfa Romeo,0
2021,AlphaTauri,0
2021,Alpine F1 Team,1
2021,Aston Martin,0
2021,Ferrari,0
2021,Haas F1 Team,0
2021,McLaren,1
2021,Mercedes,9
2021,Red Bull,11
2021,Williams,0
2022,Alfa Romeo,0
2022,AlphaTauri,0
2022,Alpine F1 Team,0
2022,Aston Martin,0
2022,Ferrari,4
2022,Haas F1 Team,0
2022,McLaren,0
2022,Mercedes,1
2022,Red Bull,17
2022,Williams,0
2023,Alfa Romeo,0
2023,AlphaTauri,0
2023,Alpine F1 Team,0
2023,Aston Martin,0
2023,Ferrari,1
2023,Haas F1 Team,0
2023,McLaren,0
2023,Mercedes,0
2023,Red Bull,21
2023,Williams,0
2024,Alpine F1 Team,0
2024,Aston Martin,0
2024,Ferrari,5
2024,Haas F1 Team,0
2024,McLaren,6
2024,Mercedes,4
2024,RB F1 Team,0
2024,Red Bull,9
2024,Sauber,0
2024,Williams,0
